"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference",,,,,,
"Abyssorchomene","plebs","*","*","*","*","None","*","Abyssorchomenetext.doc","Unknown","*","Abyssorchomene2.txt","Abyssorchomene3.txt","Abyssorchomene4.txt","Abyssorchomene5.txt","*",,,,,,
"Achelia ","sp.","Achelia1.jpg","Achelia sp.","None","Kathy Conlan","None","McMurdo",,"Unknown","*","*","*","*","*","*",,,,,,
"Acutiserolis ","sp.","Acutiserolis1.jpg","Acutiserolis sp.","None","David Barnes","None","Falkland Trough","*","Cristoph Held","*","*","*","*","*","*",,,,,,
"Aega","glacialis","Aega1.jpg","Aega glacialis  ","None","BAS","None","Unknown","Aegatext.doc","Unknown","Aega1.txt","Aega2.txt","*","Aega4.txt","Aega5.txt","*",,,,,,
"Alexandrella","pulchra","Alexandrella1.jpg","Alexandrella pulchra","None","BAS","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Ammothea","carolinensis","Ammothea1.car.jpg","Ammothea carolinensis","None","BAS","None","Ryder Bay (WAP)","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Ammothea","clausi","Ammothea1.cla.jpg","Ammothea clausi","None","BAS","None","Ryder Bay (WAP)","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Ammothea","gigantea","Ammothea1.gig.jpg","Ammothea gigantea ","None","David Barnes","None","Deception I. (AP)","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Antarcturidae ","sp.","Antarcturidae1.jpg ","Antarcturidae sp.","None","David Barnes","None","Elephant I. (AP)","*","David Barnes","*","*","*","*","*","*",,,,,,
"Antarcturus","mawsoni","Antarcturus1.jpg","Antarcturus mawsoni","None","BAS","None","Signy I., Scotia arc","*","Unknown","*","*","*","*","*","*",,,,,,
"Anturidae ","sp.","Anturidae1.jpg","Anturidae sp.","None","Stephanie Kaiser","None","Elephant I. (AP)","*","Stephanie Kaiser","*","*","*","*","*","*",,,,,,
"Austropallene","cornigera ","Austropallene1.jpg","Austropallene cornigera ","None","David Barnes","None","Elephant I. (AP)","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Austrodecus","kelpi","Austrodecus1.jpg","Austrodecus kelpi ","None","Chris Gilbert","None","Shag Rocks, Scotia arc","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Brigosaccus ","sp.","Brigosaccus1.jpg","Brigosaccus sp.","None","BAS","None","South Goergia","*","Unknown","*","*","*","*","*","*",,,,,,
"Campylaspis","maculata","Campylaspis1.jpg","Campylaspis maculata","None","*","None","Unknown","*","Ute Muehlenhardt-Siegel","*","*","*","*","*","*",,,,,,
"Campylaspis","maculata","Campylaspis2.jpg","Campylaspis maculata","Dorsal","*","None","Unknown","*","Ute Muehlenhardt-Siegel","*","*","*","*","*","*",,,,,,
"Ceratoserolis","dinae","Ceratoserolis1.din.jpg","Ceratoserolis dinae","None","David Barnes","None","Livingstone I. (AP)","*","Cristoph Held","*","*","*","*","*","*",,,,,,
