"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Distribution","Ecology","Size","Depth","Reference"
"Alcyonacea","sp.","Alcyonacea1.jpg","Alcyonacea sp","None","BAS","None","South Georgia","*","*","*","*","*","*","*","*"
"Alcyonaria","sp.","Alcyonaria1.jpg","Alcyonaria sp.","None","BAS","None","South Georgia","*","*","*","*","*","*","*","*"
"Alcyonium","antarcticum","Alcyonium1.jpg","Alcyonium antarcticum","None","BAS","None","Ryder Bay, WAP","*","David Barnes","*","*","*","*","*","*"
"Alcyonium","antarcticum","Alcyonium2.jpg","Alcyonium antarcticum","Closed","Simon Brockington","None","Ryder Bay, WAP","*","David Barnes","*","*","*","*","*","*"
"Antarctoscyphus ","sp.","Antarctoscyphus1.jpg","Antarctoscyphus sp.","None","Simon Brockington","None","Ryder Bay, WAP","*","Alvaro Pena","*","*","*","*","*","*"
"Balanophyllia","malouinensis","Balanophyllia1.jpg","Balanophyllia malouinensis ","None","David Barnes","None","Falkland Trough","*","Alex Rogers","*","*","*","*","*","*"
"Bicreopsis ","sp.","Bicreopsis1.jpg","Bicreopsis sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Bicreopsis ","sp.","Bicreopsis2.jpg","Bicreopsis sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Byergorgia","sp.","Byergorgia1.jpg","Byergorgia sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Byergorgia","sp.","Byergorgia2.jpg","Byergorgia sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Byergorgia","sp.","Byergorgia3.jpg","Byergorgia sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Clavularia","frankliniana  ","Clavularia1.jpg","Clavularia Frankliniana   ","None","David Barnes","None","Ryder Bay, WAP","Clavulariatext.doc","Unknown","Calvularia1.txt","Calvularia2.txt","Calvularia3.txt","Calvularia4.txt","Calvularia5.txt","Calvularia6.txt"
"Dasystenella","sp.","Dasystenella1.jpg","Dasystenella sp.","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Desmonema ","glaciale","Desmonema1.jpg","Desmonema glaciale ","None","David Barnes","None","Ryder Bay, WAP","*","Unknown","*","*","*","*","*","*"
"Desmophyllum","dianthus","Desmophyllum1.jpg","Desmophyllum dianthus  ","None","BAS","None","South Georgia","Desmophyllumtext.doc","Alex Rogers","Desmophyllum1.txt","Desmophyllum2.txt","Desmophyllum3.txt","Desmophyllum4.txt","Desmophyllum5.txt","*"
"Edwardsiella","ignota","Edwardsiella1.jpg","Edwardsiella ignota  ","None","BAS","None","Ryder Bay, WAP","Edwardsiellatext.doc","Unknown","Edwardsiella1.txt","Edwardsiella2.txt","Edwardsiella3.txt","*","Edwardsiella5.txt","*"
"Flabellum","curvatum","Flabellum1.cur.jpg","Flabellum curvatum ","None","David Barnes","None","Falkland Trough","*","Alex Rogers","*","*","*","*","*","*"
"Flabellum","curvatum","Flabellum2.cur.jpg","Flabellum curvatum ","None","David Barnes","None","Elephant I. (AP)","*","Alex Rogers","*","*","*","*","*","*"
"Flabellum ","impensum ","Flabellum1.imp.jpg","Flabellum impensum ","None","David Barnes","None","Livingstone I. (AP)","*","Alex Rogers","*","*","*","*","*","*"
"Gorgonacea","sp.","Gorgonacea1.jpg","Gorgonacea sp","None","BAS","None","South Georgia","*","*","*","*","*","*","*","*"
"Gorgonacea","sp.","Gorgonacea2.jpg","Gorgonacea sp","None","BAS","None","South Georgia","*","*","*","*","*","*","*","*"
"Gorgonacea","sp.","Gorgonacea3.jpg","Gorgonacea sp","None","BAS","None","South Georgia","*","*","*","*","*","*","*","*"
"Hormathia","lacunifera","Hormathia1.jpg","Hormathia lacunifera  ","None","Simon Brockington","None","Ryder Bay, WAP","Hormathiatext.doc","Estefania Rodriguez ","Hormatia1.txt","Hormathia2.txt","*","Hormathia4.txt","Hormathia5.txt","*"
"Inflatocalyx","infirmata","Inflatocalyx1.jpg","Inflatocalyx infirmata","None","David Barnes","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Inflatocalyx","infirmata","Inflatocalyx2.jpg","Inflatocalyx infirmata","None","David Barnes","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Isotealia","antarctica   ","Isotealia1.jpg","Isotealia antarctica   ","None","David Barnes","None","Ryder Bay, WAP","Isotealiatext.doc","Estefania Rodriguez ","Isotealia1.txt","Isotealia2.txt","Isotealia3.txt","*","Isotealia5.txt","*"
"Lyrocteis","flavopallidus","*","Lyrocteis flavopallidus ","None","Unknown","None","Unknown","Lyrocteistext.doc","Unknown","*","Lyrocteis2.txt","Lyrocteis3.ytxt","Lyrocteis4.txt","Lyrocteis5.txt","Lyrocteis6.txt"
"Notisis ","sp.","Notisis1.jpg","Notisis sp","None","BAS","None","Unknown","*","Unknown","*","*","*","*","*","*"
"Oswaldella","incognita","Oswaldella1.inc.jpg","Oswaldella incognita","None","Unknown","None","Unknown","*","Alvaro Pena","*","*","*","*","*","*"
"Oswaldella","stepanjantsae ","Oswaldella1.ste.jpg","Oswaldella stepanjantsae ","None","Unknown","None","Unknown","*","Alvaro Pena","*","*","*","*","*","*"
"Paragorgia ","sp.","Paragorgia1.jpg","Paragorgia sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Distribution","Ecology","Size","Depth","Reference"
"Parazoanthus","sp.","Parazoanthus1.jpg","Parazoanthus sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Primnoella","sp.","Primnoella1.jpg","Primnoella sp","None","BAS","None","South Orkney Is. (Scotia arc)","*","Stephen Cairns","*","*","*","*","*","*"
"Diplulmaris","antarctica   ","Scyphozoa1.jpg","Scyphozoa sp.","None","Simon Brockington","None","South Cove, Rothera","*","Unknown","*","*","*","*","*","*"
"Stegella","lobata","Stegella1.jpg","Stegella lobata","None","*","None","Ryder Bay, WAP","*","Alvaro Pena","*","*","*","*","*","*"
"Stegella","lobata","Stegella2.jpg","Stegella lobata","None","*","None","Ryder Bay, WAP","*","Alvaro Pena","*","*","*","*","*","*"
"Stylasteridae ","sp.","Stylasteridae1.jpg","Stylasteridae ","None","David Barnes","None","Shag Rocks (Scotia arc)","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina1.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina2.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
