"SIPUNCULA",,,,,,,,,,,,,,,
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Commonn Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference"
"Golfingia ","margaritacea ","Golfingia1.jpg","Golfingia margaritacea ","None","BAS","None","*","Sipunculatext.doc","Jose Saiz Salinas","Sipuncula1.txt","*","*","*","*","*"
,,,,,,,,,,,,,,,
"NEMERTEA",,,,,,,,,,,,,,,
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference"
"Antarctonemertes","validum","Antarctonemertes1.jpg","Antarctonemertes validum   ","None","David Barnes","Common intertidal nemertean","Ryder Bay (WAP)","Antarctonemertestext.doc","Unknown","Antarctonemertes1.txt","Antarctonemertes2.txt","*","Antarctonemertes4.txt","Antarctonemertes5.txt","Antarctonemertes6.txt"
"Nemertean ","sp.","Nemertean1.jpg","Nemertean sp.","None","David Barnes","None","Livingston Is. (AP)","Nemerteatext.doc","N/A","Nemertea1.txt","*","Nemertea3.txt","Nemertea4.txt","*","*"
"Nemertean ","sp.","Nemertean2.jpg","Nemertean sp.","None","David Barnes","None","Elephant I. (AP)","Nemerteatext.doc","N/A","Nemertea1.txt","*","Nemertea3.txt","Nemertea4.txt","*","*"
"Nemertean ","sp.","Nemertean3.jpg","Nemertean sp.","None","David Barnes","None","Elephant I. (AP)","Nemerteatext.doc","N/A","Nemertea1.txt","*","Nemertea3.txt","Nemertea4.txt","*","*"
"Parbolasia ","corrugatus","Parbolasia1.jpg","Parbolasia corrugatus","Eating a fish at Deception is.","David Barnes","Common Antarctic nemertean","Deception I. (WAP)","*","David Barnes","*",,"*","*","*","*"
"Parbolasia ","corrugatus","Parbolasia2.jpg","Parbolasia corrugatus","None","BAS","None","Signy I., South Orkney Is.","*","David Barnes","*",,"*","*","*","*"
,,,,,,,,,,,,,,,
"PRIAPULA",,,,,,,,,,,,,,,
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference"
"Priapulus","tuberculospinosus  ","Priapulus1.jpg","Priapulus tuberculospinosus  ","None","BAS","None","Signy I., South Orkney Is.","Priapulatext1.doc","Martin Rauschert","Priapula1.txt","Priapula2.txt","Priapula3.txt","Priapula4.txt","Priapula5.txt","*"
"Priapulus","tuberculospinosus  ","Priapulus2.jpg","Priapulus tuberculospinosus  ","None","David Barnes","None","Signy I., South Orkney Is.","Priapulatext2.doc","Martin Rauschert","Priapula1.txt","Priapula2.txt","Priapula3.txt","Priapula4.txt","Priapula5.txt","*"
,,,,,,,,,,,,,,,
"ENTOPROCTA",,,,,,,,,,,,,,,
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference"
"Barentsia ","capitata","Barentsia1.sp.jpg","Barentsia capitata","None","David Barnes","None","Signy Is., South Orkney Is.","Barentsiatext.doc","Unknown","Barentsia1.txt","Barentsia2.txt","Barentsia3.txt","Barentsia4.txt","Barentsia5.txt","*"
